Unique ID, Generation, Average Fitness, Best Fitness
21,42,7.546931240285108E-6,8.28761516365392E-6
21,43,7.54693650756866E-6,8.28761516365392E-6
21,44,7.546942186983023E-6,8.28761516365392E-6
21,45,7.546949318597762E-6,8.28761516365392E-6
21,46,7.5469507333714034E-6,8.28761516365392E-6
21,47,7.546959666433015E-6,8.28761516365392E-6
21,48,7.546961305051705E-6,8.28761516365392E-6
21,49,7.54696521925286E-6,8.28761516365392E-6
21,50,7.546969442582927E-6,8.28761516365392E-6
21,51,7.546978181831338E-6,8.28761516365392E-6
21,52,7.546980548569578E-6,8.28761516365392E-6
21,53,7.546985303835585E-6,8.28761516365392E-6
21,54,7.546991012083978E-6,8.28761516365392E-6
21,55,7.546997070129004E-6,8.28761516365392E-6
21,56,7.5469994371749516E-6,8.28761516365392E-6
21,57,7.547009467714865E-6,8.28761516365392E-6
21,58,7.547017924502574E-6,8.28761516365392E-6
21,59,7.547019889451048E-6,8.28761516365392E-6
21,60,7.547023746767069E-6,8.28761516365392E-6
21,61,7.547028485138099E-6,8.28761516365392E-6
21,62,7.54703170873445E-6,8.28761516365392E-6
21,63,7.547032880166737E-6,8.28761516365392E-6
21,64,7.547036643340891E-6,8.28761516365392E-6
21,65,7.547043443792788E-6,8.28761516365392E-6
21,66,7.547051106597865E-6,8.28761516365392E-6
21,67,7.5470593712962864E-6,8.28761516365392E-6
21,68,7.547065097483451E-6,8.28761516365392E-6
21,69,7.547074001100211E-6,8.28761516365392E-6
21,70,7.547078403776889E-6,8.28761516365392E-6
21,71,7.547085855588561E-6,8.28761516365392E-6
21,72,7.547091138458714E-6,8.28761516365392E-6
21,73,7.547098145535671E-6,8.28761516365392E-6
21,74,7.547102918452757E-6,8.28761516365392E-6
21,75,7.547106736740251E-6,8.28761516365392E-6
21,76,7.5471089787718675E-6,8.28761516365392E-6
21,77,7.547120477751368E-6,8.28761516365392E-6
21,78,7.547124288883237E-6,8.28761516365392E-6
21,79,7.5471322745890785E-6,8.28761516365392E-6
21,80,7.547139327396286E-6,8.28761516365392E-6
21,81,7.547142512769679E-6,8.28761516365392E-6
21,82,7.547147662934893E-6,8.28761516365392E-6
21,83,7.547150222507782E-6,8.28761516365392E-6
21,84,7.5471578586184126E-6,8.28761516365392E-6
21,85,7.547160866075336E-6,8.28761516365392E-6
21,86,7.547166531979508E-6,8.28761516365392E-6
21,87,7.54717564786491E-6,8.28761516365392E-6
21,88,7.547179489806615E-6,8.28761516365392E-6
21,89,7.547184713461555E-6,8.28761516365392E-6
21,90,7.547190735887086E-6,8.28761516365392E-6
21,91,7.547195598188469E-6,8.28761516365392E-6
21,92,7.5471979520764165E-6,8.28761516365392E-6
21,93,7.54720646921923E-6,8.28761516365392E-6
21,94,7.547214205784791E-6,8.28761516365392E-6
21,95,7.547216520633749E-6,8.28761516365392E-6
21,96,7.5472193009484334E-6,8.28761516365392E-6
21,97,7.547222572948231E-6,8.28761516365392E-6
21,98,7.547229041982824E-6,8.28761516365392E-6
21,99,7.547232578797462E-6,8.28761516365392E-6
21,100,7.547244758333345E-6,8.28761516365392E-6
21,101,7.547250525383868E-6,8.28761516365392E-6
21,102,7.5472562822785436E-6,8.28761516365392E-6
21,103,7.54726197892127E-6,8.28761516365392E-6
21,104,7.547266386662014E-6,8.28761516365392E-6
21,105,7.5472731774237E-6,8.28761516365392E-6
21,106,7.547280110672489E-6,8.28761516365392E-6
21,107,7.547293554408166E-6,8.28761516365392E-6
21,108,7.547301536416612E-6,8.28761516365392E-6
21,109,7.547306209547396E-6,8.28761516365392E-6
21,110,7.547308214489886E-6,8.28761516365392E-6
21,111,7.5473111689291126E-6,8.28761516365392E-6
21,112,7.547317140811009E-6,8.28761516365392E-6
21,113,7.547318786587514E-6,8.28761516365392E-6
21,114,7.547325198981843E-6,8.28761516365392E-6
21,115,7.547329464061292E-6,8.28761516365392E-6
21,116,7.54733369715355E-6,8.28761516365392E-6
21,117,7.547341950874187E-6,8.28761516365392E-6
21,118,7.547348492075554E-6,8.28761516365392E-6
21,119,7.547353838400764E-6,8.28761516365392E-6
21,120,7.547360261978269E-6,8.28761516365392E-6
21,121,7.5473674863143805E-6,8.28761516365392E-6
21,122,7.547377815453654E-6,8.28761516365392E-6
21,123,7.5473817619888595E-6,8.28761516365392E-6
21,124,7.54738563797909E-6,8.28761516365392E-6
21,125,7.547391179556299E-6,8.28761516365392E-6
21,126,7.5473982218009715E-6,8.28761516365392E-6
21,127,7.547402742959824E-6,8.28761516365392E-6
21,128,7.547407276632266E-6,8.28761516365392E-6
21,129,7.547415200446757E-6,8.28761516365392E-6
21,130,7.5474214437664055E-6,8.28761516365392E-6
21,131,7.547427811935453E-6,8.28761516365392E-6
21,132,7.547433461977269E-6,8.28761516365392E-6
21,133,7.54744020702443E-6,8.28761516365392E-6
21,134,7.547444249361991E-6,8.28761516365392E-6
21,135,7.54744906237868E-6,8.28761516365392E-6
21,136,7.547458425713666E-6,8.28761516365392E-6
21,137,7.547457597046152E-6,8.28761516365392E-6
21,138,7.547465597026015E-6,8.28761516365392E-6
21,139,7.547468420876238E-6,8.28761516365392E-6
21,140,7.547475359726332E-6,8.28761516365392E-6
21,141,7.547483455162898E-6,8.28761516365392E-6
21,142,7.5474923736957515E-6,8.28761516365392E-6
21,143,7.547498255076763E-6,8.28761516365392E-6
21,144,7.547500900717513E-6,8.28761516365392E-6
21,145,7.547509468266569E-6,8.28761516365392E-6
21,146,7.547516557861333E-6,8.28761516365392E-6
21,147,7.5475230218065665E-6,8.28761516365392E-6
21,148,7.547529952492503E-6,8.28761516365392E-6
21,149,7.547534345783437E-6,8.28761516365392E-6
21,150,7.547541904191525E-6,8.28761516365392E-6
21,151,7.547545094044024E-6,8.28761516365392E-6
21,152,7.547554530451349E-6,8.28761516365392E-6
21,153,7.547567518948729E-6,8.28761516365392E-6
21,154,7.54757292496581E-6,8.28761516365392E-6
21,155,7.54757928540694E-6,8.28761516365392E-6
21,156,7.5475879384350535E-6,8.28761516365392E-6
21,157,7.547590487046226E-6,8.28761516365392E-6
21,158,7.547596625447583E-6,8.28761516365392E-6
21,159,7.547605415269279E-6,8.28761516365392E-6
21,160,7.547612323460129E-6,8.28761516365392E-6
21,161,7.5476194196934944E-6,8.28761516365392E-6
21,162,7.547623699861095E-6,8.28761516365392E-6
21,163,7.5476273587291606E-6,8.28761516365392E-6
21,164,7.547628304846636E-6,8.28761516365392E-6
21,165,7.547636667395682E-6,8.28761516365392E-6
21,166,7.547646952621833E-6,8.28761516365392E-6
21,167,7.5476547852638876E-6,8.28761516365392E-6
