unique_id,generation,average_fitness,best_fitness
3,1,3.6156588096537953E-4,5.989774961901183E-4
3,2,3.6322997933347474E-4,5.989774961901183E-4
3,3,3.648614483218033E-4,5.989774961901183E-4
3,4,3.6649447015415474E-4,5.989774961901183E-4
3,5,3.669188495753382E-4,5.989774961901183E-4
3,6,3.6755492707709356E-4,5.989774961901183E-4
3,7,3.682338098484103E-4,5.989774961901183E-4
3,8,3.6907198895560865E-4,5.989774961901183E-4
3,9,3.6980056284339943E-4,5.989774961901183E-4
3,10,3.7129838058845083E-4,5.989774961901183E-4
3,11,3.7276896528359215E-4,5.989774961901183E-4
3,12,3.7342574014691596E-4,5.989774961901183E-4
3,13,3.735682099572738E-4,5.989774961901183E-4
3,14,3.7556298240181226E-4,5.989774961901183E-4
3,15,3.7752275883855176E-4,5.989774961901183E-4
3,16,3.777666807647741E-4,5.989774961901183E-4
3,17,3.7818465787154657E-4,5.989774961901183E-4
3,18,3.8007177614777366E-4,5.989774961901183E-4
3,19,3.802280995359811E-4,5.989774961901183E-4
3,20,3.8104287026039863E-4,5.989774961901183E-4
3,21,3.816183801471798E-4,5.989774961901183E-4
3,22,3.822600200688284E-4,5.989774961901183E-4
3,23,3.829416218769723E-4,5.989774961901183E-4
3,24,3.825297182151403E-4,5.989774961901183E-4
3,25,3.842752648117127E-4,5.989774961901183E-4
3,26,3.856369789884013E-4,5.989774961901183E-4
3,27,3.8552721889906097E-4,5.989774961901183E-4
3,28,3.858331858343606E-4,5.989774961901183E-4
3,29,3.8703738560653576E-4,5.989774961901183E-4
3,30,3.884817615060559E-4,5.989774961901183E-4
3,31,3.9010095946516405E-4,5.989774961901183E-4
3,32,3.8936309520771193E-4,5.989774961901183E-4
3,33,3.897539393358507E-4,5.989774961901183E-4
3,34,3.9003409039308504E-4,5.989774961901183E-4
3,35,3.8989799280683837E-4,5.989774961901183E-4
3,36,3.9131624281862475E-4,5.989774961901183E-4
3,37,3.9168476702185873E-4,5.989774961901183E-4
3,38,3.931978526362256E-4,5.989774961901183E-4
3,39,3.9303970118726865E-4,5.989774961901183E-4
3,40,3.9329754973835003E-4,5.989774961901183E-4
3,41,3.9331639890699484E-4,5.989774961901183E-4
3,42,3.9356862763664444E-4,5.989774961901183E-4
3,43,3.9396676446085214E-4,5.989774961901183E-4
3,44,3.9381173123969953E-4,5.989774961901183E-4
3,45,3.948425761367914E-4,5.989774961901183E-4
3,46,3.9575935709985205E-4,5.989774961901183E-4
3,47,3.956968828774429E-4,5.989774961901183E-4
3,48,3.964826271821473E-4,5.989774961901183E-4
3,49,3.977318104065788E-4,5.989774961901183E-4
3,50,3.9891053568334424E-4,5.989774961901183E-4
3,51,3.992381311411483E-4,5.989774961901183E-4
3,52,4.0044424778523343E-4,5.989774961901183E-4
3,53,4.0077095705423946E-4,5.989774961901183E-4
3,54,4.0018818402856794E-4,5.989774961901183E-4
3,55,4.006296548460444E-4,5.989774961901183E-4
3,56,4.008841957256975E-4,5.989774961901183E-4
3,57,4.019898218854343E-4,5.989774961901183E-4
3,58,4.0288322044935466E-4,5.989774961901183E-4
3,59,4.028570283569655E-4,5.989774961901183E-4
3,60,4.040904904188092E-4,5.989774961901183E-4
3,61,4.053085342048799E-4,5.989774961901183E-4
3,62,4.0615912341119073E-4,5.989774961901183E-4
3,63,4.0647614241888963E-4,5.989774961901183E-4
3,64,4.076525246329148E-4,5.989774961901183E-4
3,65,4.0779377676003345E-4,5.989774961901183E-4
3,66,4.081064308909749E-4,5.989774961901183E-4
3,67,4.081828258739647E-4,5.989774961901183E-4
3,68,4.0797681484295385E-4,5.989774961901183E-4
3,69,4.0837597589357146E-4,5.989774961901183E-4
3,70,4.095037955402966E-4,5.989774961901183E-4
3,71,4.105147246512243E-4,5.989774961901183E-4
3,72,4.106166636303942E-4,5.989774961901183E-4
3,73,4.108342984601824E-4,5.989774961901183E-4
3,74,4.106101344089456E-4,5.989774961901183E-4
3,75,4.1136670488027885E-4,5.989774961901183E-4
3,76,4.121146288319397E-4,5.989774961901183E-4
3,77,4.1193202419551685E-4,5.989774961901183E-4
3,78,4.1298877827458235E-4,5.989774961901183E-4
3,79,4.137149839945057E-4,5.989774961901183E-4
3,80,4.1391827490333045E-4,5.989774961901183E-4
3,81,4.145611723546619E-4,5.989774961901183E-4
3,82,4.151647638571548E-4,5.989774961901183E-4
3,83,4.1535673799351187E-4,5.989774961901183E-4
3,84,4.1636013011480484E-4,5.989774961901183E-4
3,85,4.173526157999967E-4,5.989774961901183E-4
3,86,4.175296506155327E-4,5.989774961901183E-4
3,87,4.1775161567124056E-4,5.989774961901183E-4
3,88,4.178095822495767E-4,5.989774961901183E-4
3,89,4.1847151743133916E-4,5.989774961901183E-4
3,90,4.191946031841465E-4,5.989774961901183E-4
3,91,4.190025535893889E-4,5.989774961901183E-4
3,92,4.1994483077578015E-4,5.989774961901183E-4
3,93,4.2056996580649373E-4,5.989774961901183E-4
3,94,4.20715362881189E-4,5.989774961901183E-4
3,95,4.216342398570082E-4,5.989774961901183E-4
3,96,4.225436924535883E-4,5.989774961901183E-4
3,97,4.224410088010962E-4,5.989774961901183E-4
3,98,4.2333713310256334E-4,5.989774961901183E-4
3,99,4.2422420564340954E-4,5.989774961901183E-4
3,100,4.2435425514607657E-4,5.989774961901183E-4
3,101,4.239977261837253E-4,5.989774961901183E-4
3,102,4.2396768287865784E-4,5.989774961901183E-4
3,103,4.24553255717976E-4,5.989774961901183E-4
3,104,4.2470653311997634E-4,5.989774961901183E-4
3,105,4.2465861959738535E-4,5.989774961901183E-4
3,106,4.255089555807645E-4,5.989774961901183E-4
3,107,4.252302084968289E-4,5.989774961901183E-4
3,108,4.253812046740503E-4,5.989774961901183E-4
3,109,4.2497827959327384E-4,5.989774961901183E-4
3,110,4.258108117301008E-4,5.989774961901183E-4
3,111,4.2642356756423264E-4,5.989774961901183E-4
3,112,4.269127440977812E-4,5.989774961901183E-4
3,113,4.271261123545236E-4,5.989774961901183E-4
3,114,4.2738223039800566E-4,5.989774961901183E-4
3,115,4.2797920467050064E-4,5.989774961901183E-4
3,116,4.285706256939491E-4,5.989774961901183E-4
3,117,4.2872384177211034E-4,5.989774961901183E-4
3,118,4.2893726126323756E-4,5.989774961901183E-4
3,119,4.2914872277738196E-4,5.989774961901183E-4
3,120,4.289566488856603E-4,5.989774961901183E-4
3,121,4.297294709188624E-4,5.989774961901183E-4
3,122,4.304952990875106E-4,5.989774961901183E-4
3,123,4.3029975512986574E-4,5.989774961901183E-4
3,124,4.3007589548239817E-4,5.989774961901183E-4
3,125,4.3057668789730233E-4,5.989774961901183E-4
3,126,4.31073028824074E-4,5.989774961901183E-4
3,127,4.3120036714820644E-4,5.989774961901183E-4
3,128,4.3193947344354527E-4,5.989774961901183E-4
3,129,4.324233064390601E-4,5.989774961901183E-4
3,130,4.329563467467401E-4,5.989774961901183E-4
3,131,4.3367817783127656E-4,5.989774961901183E-4
3,132,4.342039637485088E-4,5.989774961901183E-4
3,133,4.3426945207511333E-4,5.989774961901183E-4
3,134,4.3430020779349675E-4,5.989774961901183E-4
3,135,4.350039568892088E-4,5.989774961901183E-4
3,136,4.3481770938421385E-4,5.989774961901183E-4
3,137,4.35513301701188E-4,5.989774961901183E-4
3,138,4.355969672304792E-4,5.989774961901183E-4
3,139,4.3570613498971803E-4,5.989774961901183E-4
3,140,4.3615193943085284E-4,5.989774961901183E-4
3,141,4.368303792506831E-4,5.989774961901183E-4
3,142,4.372678191559538E-4,5.989774961901183E-4
3,143,4.374238854873206E-4,5.989774961901183E-4
3,144,4.3785528265165644E-4,5.989774961901183E-4
3,145,4.384434238883218E-4,5.989774961901183E-4
3,146,4.3878696084588575E-4,5.989774961901183E-4
3,147,4.394350888233618E-4,5.989774961901183E-4
3,148,4.4008100950096E-4,5.989774961901183E-4
3,149,4.4072172114083567E-4,5.989774961901183E-4
3,150,4.4102206379592455E-4,5.989774961901183E-4
3,151,4.4072929603095425E-4,5.989774961901183E-4
3,152,4.4135976694792303E-4,5.989774961901183E-4
3,153,4.4168923996511906E-4,5.989774961901183E-4
3,154,4.423109326774708E-4,5.989774961901183E-4
3,155,4.4210984945124214E-4,5.989774961901183E-4
3,156,4.421411992834888E-4,5.989774961901183E-4
3,157,4.427043418566291E-4,5.989774961901183E-4
3,158,4.4241300248190813E-4,5.989774961901183E-4
3,159,4.420739534676495E-4,5.989774961901183E-4
3,160,4.4202301407120134E-4,5.989774961901183E-4
3,161,4.426266851562741E-4,5.989774961901183E-4
3,162,4.4267540296082173E-4,5.989774961901183E-4
3,163,4.423897339516329E-4,5.989774961901183E-4
3,164,4.428184221294287E-4,5.989774961901183E-4
3,165,4.4292390144933007E-4,5.989774961901183E-4
3,166,4.430652906818212E-4,5.989774961901183E-4
3,167,4.4365142679275466E-4,5.989774961901183E-4
3,168,4.442331723710219E-4,5.989774961901183E-4
3,169,4.4414946389545056E-4,5.989774961901183E-4
3,170,4.4472503278873926E-4,5.989774961901183E-4
3,171,4.4529633820874435E-4,5.989774961901183E-4
3,172,4.451655886508477E-4,5.989774961901183E-4
3,173,4.4521958093550636E-4,5.989774961901183E-4
3,174,4.453366733706938E-4,5.989774961901183E-4
3,175,4.4583311523575694E-4,5.989774961901183E-4
3,176,4.4598255564980334E-4,5.989774961901183E-4
3,177,4.4647305995686203E-4,5.989774961901183E-4
3,178,4.4681883734481895E-4,5.989774961901183E-4
3,179,4.4690461477373466E-4,5.989774961901183E-4
3,180,4.4695101934471773E-4,5.989774961901183E-4
3,181,4.4657886394427787E-4,5.989774961901183E-4
3,182,4.4633821777939945E-4,5.989774961901183E-4
3,183,4.465552039220042E-4,5.989774961901183E-4
3,184,4.4635972897251084E-4,5.989774961901183E-4
3,185,4.468971154767982E-4,5.989774961901183E-4
3,186,4.4736892119231125E-4,5.989774961901183E-4
3,187,4.47899021104891E-4,5.989774961901183E-4
3,188,4.483361739116497E-4,5.989774961901183E-4
3,189,4.4825638700150247E-4,5.989774961901183E-4
3,190,4.487779133308749E-4,5.989774961901183E-4
3,191,4.492932530894064E-4,5.989774961901183E-4
3,192,4.4980763193167684E-4,5.989774961901183E-4
3,193,4.498940300118654E-4,5.989774961901183E-4
3,194,4.495322044634177E-4,5.989774961901183E-4
3,195,4.494130802968792E-4,5.989774961901183E-4
3,196,4.499200783168563E-4,5.989774961901183E-4
3,197,4.504236506745362E-4,5.989774961901183E-4
3,198,4.5092383197256847E-4,5.989774961901183E-4
3,199,4.5142065634913743E-4,5.989774961901183E-4
3,200,4.5191415748572936E-4,5.989774961901183E-4
