Unique ID, Generation, Average Fitness, Best Fitness
2,1,3.692813019916359E-4,5.863056980074035E-4
2,2,3.69179140303594E-4,5.863056980074035E-4
2,3,3.7082870806831597E-4,5.863056980074035E-4
2,4,3.7132613989738583E-4,5.863056980074035E-4
2,5,3.725951666471957E-4,5.863056980074035E-4
2,6,3.741650703201294E-4,5.863056980074035E-4
2,7,3.7570535316904544E-4,5.863056980074035E-4
2,8,3.7608042429684797E-4,5.863056980074035E-4
2,9,3.7653733418735946E-4,5.863056980074035E-4
2,10,3.771252083319344E-4,5.863056980074035E-4
2,11,3.7902684914716597E-4,5.863056980074035E-4
2,12,3.804539500765179E-4,5.863056980074035E-4
2,13,3.818555670607029E-4,5.863056980074035E-4
2,14,3.8246792854987837E-4,5.863056980074035E-4
2,15,3.830920324822654E-4,5.863056980074035E-4
2,16,3.837052824332196E-4,5.863056980074035E-4
2,17,3.8503053907004725E-4,5.863056980074035E-4
2,18,3.845548913194983E-4,5.863056980074035E-4
2,19,3.8626464391854835E-4,5.863056980074035E-4
2,20,3.879456611797992E-4,5.863056980074035E-4
2,21,3.8901052173807935E-4,5.863056980074035E-4
2,22,3.893114818267902E-4,5.863056980074035E-4
2,23,3.9092618851679526E-4,5.863056980074035E-4
2,24,3.9251463981346686E-4,5.863056980074035E-4
2,25,3.940774709279341E-4,5.863056980074035E-4
2,26,3.956152967445699E-4,5.863056980074035E-4
2,27,3.9712871262760825E-4,5.863056980074035E-4
2,28,3.982334869557785E-4,5.863056980074035E-4
2,29,3.997028011046193E-4,5.863056980074035E-4
2,30,4.0114933518913703E-4,5.863056980074035E-4
2,31,4.025736149031237E-4,5.863056980074035E-4
2,32,4.028640118576497E-4,5.863056980074035E-4
2,33,4.0425372160120845E-4,5.863056980074035E-4
2,34,4.056225334538866E-4,5.863056980074035E-4
2,35,4.0697091527891287E-4,5.863056980074035E-4
2,36,4.0829932107690165E-4,5.863056980074035E-4
2,37,4.096081914955083E-4,5.863056980074035E-4
2,38,4.10897954316763E-4,5.863056980074035E-4
2,39,4.1216902492321696E-4,5.863056980074035E-4
2,40,4.1342180674396647E-4,5.863056980074035E-4
2,41,4.1465669168156246E-4,5.863056980074035E-4
2,42,4.1587406052075285E-4,5.863056980074035E-4
2,43,4.170742833199546E-4,5.863056980074035E-4
2,44,4.182577197863004E-4,5.863056980074035E-4
2,45,4.194247196350581E-4,5.863056980074035E-4
2,46,4.2057562293417773E-4,5.863056980074035E-4
2,47,4.2171076043467925E-4,5.863056980074035E-4
2,48,4.2283045388755494E-4,5.863056980074035E-4
2,49,4.227693036355856E-4,5.863056980074035E-4
2,50,4.238668633293562E-4,5.863056980074035E-4
2,51,4.249497888938764E-4,5.863056980074035E-4
2,52,4.260183710734362E-4,5.863056980074035E-4
2,53,4.270239847378389E-4,5.863056980074035E-4
2,54,4.2806504168731315E-4,5.863056980074035E-4
2,55,4.2909257841666434E-4,5.863056980074035E-4
2,56,4.3010685660757234E-4,5.863056980074035E-4
2,57,4.311081312319302E-4,5.863056980074035E-4
2,58,4.320966507655319E-4,5.863056980074035E-4
2,59,4.3307265739364495E-4,5.863056980074035E-4
2,60,4.3403638720882577E-4,5.863056980074035E-4
2,61,4.3498807040131686E-4,5.863056980074035E-4
2,62,4.359279314423484E-4,5.863056980074035E-4
2,63,4.3685618926065116E-4,5.863056980074035E-4
2,64,4.377730574124717E-4,5.863056980074035E-4
2,65,4.386787442453676E-4,5.863056980074035E-4
2,66,4.395734530560466E-4,5.863056980074035E-4
2,67,4.4045738224250046E-4,5.863056980074035E-4
2,68,4.413307254506735E-4,5.863056980074035E-4
2,69,4.421936717158921E-4,5.863056980074035E-4
2,70,4.430464055992738E-4,5.863056980074035E-4
2,71,4.4388910731932155E-4,5.863056980074035E-4
2,72,4.44721952878901E-4,5.863056980074035E-4
2,73,4.447583407528857E-4,5.863056980074035E-4
2,74,4.455765335693858E-4,5.863056980074035E-4
2,75,4.4638532187075367E-4,5.863056980074035E-4
2,76,4.471848668772488E-4,5.863056980074035E-4
2,77,4.479753261450337E-4,5.863056980074035E-4
2,78,4.4875685366967984E-4,5.863056980074035E-4
2,79,4.495295999861839E-4,5.863056980074035E-4
2,80,4.50293712265632E-4,5.863056980074035E-4
2,81,4.510493344086418E-4,5.863056980074035E-4
2,82,4.5179660713570675E-4,5.863056980074035E-4
2,83,4.525356680745622E-4,5.863056980074035E-4
2,84,4.5326665184468697E-4,5.863056980074035E-4
2,85,4.539896901390495E-4,5.863056980074035E-4
2,86,4.5470491180320277E-4,5.863056980074035E-4
2,87,4.554124429118275E-4,5.863056980074035E-4
2,88,4.561124068428198E-4,5.863056980074035E-4
2,89,4.568049243490144E-4,5.863056980074035E-4
2,90,4.5685596421520317E-4,5.863056980074035E-4
2,91,4.575372786035832E-4,5.863056980074035E-4
2,92,4.5821145880988584E-4,5.863056980074035E-4
2,93,4.580667595222645E-4,5.863056980074035E-4
2,94,4.58217166288236E-4,5.863056980074035E-4
2,95,4.5887741645173687E-4,5.863056980074035E-4
2,96,4.5953089481868897E-4,5.863056980074035E-4
2,97,4.601777050390395E-4,5.863056980074035E-4
2,98,4.608179486581682E-4,5.863056980074035E-4
2,99,4.61451725170033E-4,5.863056980074035E-4
2,100,4.6207913206871323E-4,5.863056980074035E-4
2,101,4.627002648984067E-4,5.863056980074035E-4
2,102,4.63315217301934E-4,5.863056980074035E-4
2,103,4.639240810678026E-4,5.863056980074035E-4
2,104,4.6452694617587944E-4,5.863056980074035E-4
2,105,4.644209840944505E-4,5.863056980074035E-4
2,106,4.6501554367451366E-4,5.863056980074035E-4
2,107,4.656043308314694E-4,5.863056980074035E-4
2,108,4.6618742922362367E-4,5.863056980074035E-4
2,109,4.6622626254427726E-4,5.863056980074035E-4
2,110,4.657481292431891E-4,5.863056980074035E-4
2,111,4.658497822722919E-4,5.863056980074035E-4
2,112,4.664206633895199E-4,5.863056980074035E-4
2,113,4.6698615883583063E-4,5.863056980074035E-4
2,114,4.675463444657441E-4,5.863056980074035E-4
2,115,4.6810129471593873E-4,5.863056980074035E-4
2,116,4.686510826382246E-4,5.863056980074035E-4
