unique_id,generation,average_fitness,best_fitness
16,1,5.564511740732886E-5,7.279955325416686E-5
16,2,5.564544580397645E-5,7.279955325416686E-5
16,3,5.564567445717667E-5,7.279955325416686E-5
16,4,5.564585283349778E-5,7.279955325416686E-5
16,5,5.564607837376016E-5,7.279955325416686E-5
16,6,5.564641601744634E-5,7.279955325416686E-5
16,7,5.564659042824132E-5,7.279955325416686E-5
16,8,5.564689036555838E-5,7.279955325416686E-5
16,9,5.564715718077238E-5,7.279955325416686E-5
16,10,5.564748793992451E-5,7.279955325416686E-5
16,11,5.564779612988903E-5,7.279955325416686E-5
16,12,5.564812431263772E-5,7.279955325416686E-5
16,13,5.564846186815617E-5,7.279955325416686E-5
16,14,5.5648868796812344E-5,7.600018474953467E-5
16,15,5.564907894363434E-5,7.600018474953467E-5
16,16,5.564935400194236E-5,7.600018474953467E-5
16,17,5.564969365456397E-5,7.600018474953467E-5
16,18,5.56500246603199E-5,7.600018474953467E-5
16,19,5.565043151705326E-5,7.600018474953467E-5
16,20,5.565069518108003E-5,7.600018474953467E-5
16,21,5.565113810592307E-5,7.780579583008024E-5
16,22,5.565157609514466E-5,7.780579583008024E-5
16,23,5.565200897863732E-5,7.780579583008024E-5
16,24,5.565245185065322E-5,7.780579583008024E-5
16,25,5.565288978734577E-5,7.780579583008024E-5
16,26,5.565333262404828E-5,7.780579583008024E-5
16,27,5.565376543781594E-5,7.780579583008024E-5
16,28,5.5654203321988904E-5,7.780579583008024E-5
16,29,5.56546411886563E-5,7.780579583008024E-5
16,30,5.565506270935788E-5,7.780579583008024E-5
16,31,5.5655505458370886E-5,7.780579583008024E-5
16,32,5.5655969919515493E-5,7.889296098410928E-5
16,33,5.565640355200412E-5,7.889296098410928E-5
16,34,5.5656746786169636E-5,7.889296098410928E-5
16,35,5.5657158578301965E-5,7.889296098410928E-5
16,36,5.5657601241182986E-5,7.889296098410928E-5
16,37,5.565805706640558E-5,7.889296098410928E-5
16,38,5.565838612554847E-5,7.889296098410928E-5
16,39,5.565881138367816E-5,7.889296098410928E-5
16,40,5.5659253978143404E-5,7.889296098410928E-5
16,41,5.5659696554919027E-5,7.889296098410928E-5
16,42,5.5660085549973897E-5,7.889296098410928E-5
16,43,5.5660528092443824E-5,7.889296098410928E-5
16,44,5.5660979308690014E-5,7.889296098410928E-5
16,45,5.566129389148472E-5,7.889296098410928E-5
16,46,5.566171447077032E-5,7.889296098410928E-5
16,47,5.5662101861997824E-5,7.889296098410928E-5
16,48,5.566252931009052E-5,7.889296098410928E-5
16,49,5.566297175067796E-5,7.889296098410928E-5
16,50,5.56634141735851E-5,7.889296098410928E-5
16,51,5.56638089508208E-5,7.889296098410928E-5
16,52,5.5664191774285296E-5,7.889296098410928E-5
16,53,5.566457458245276E-5,7.889296098410928E-5
16,54,5.5664941664195887E-5,7.889296098410928E-5
16,55,5.56653840035527E-5,7.889296098410928E-5
16,56,5.5665785674398746E-5,7.889296098410928E-5
16,57,5.5666225784908726E-5,7.889296098410928E-5
16,58,5.5666616360275026E-5,7.889296098410928E-5
16,59,5.566705891612764E-5,7.889296098410928E-5
16,60,5.566744938076591E-5,7.889296098410928E-5
16,61,5.566789190229706E-5,7.889296098410928E-5
16,62,5.566833412086896E-5,7.889296098410928E-5
16,63,5.5668776607048285E-5,7.889296098410928E-5
