Unique ID, Generation, Average Fitness, Best Fitness
20,1,7.536766565234136E-6,7.940329201408824E-6
20,2,7.538904640980772E-6,7.940329201408824E-6
20,3,7.541421770530228E-6,7.940329201408824E-6
20,4,7.5431958411398414E-6,7.940329201408824E-6
20,5,7.5451862127554625E-6,7.940329201408824E-6
20,6,7.545248727641878E-6,7.940329201408824E-6
20,7,7.546918008486024E-6,7.940329201408824E-6
20,8,7.551203529255885E-6,8.005468730861124E-6
20,9,7.5526237278762815E-6,8.005468730861124E-6
20,10,7.5557877380423855E-6,8.005468730861124E-6
20,11,7.559331249168703E-6,8.005468730861124E-6
20,12,7.561300703418419E-6,8.005468730861124E-6
20,13,7.562362164825175E-6,8.005468730861124E-6
20,14,7.563877464582313E-6,8.005468730861124E-6
20,15,7.564861576260342E-6,8.005468730861124E-6
20,16,7.5693104686457E-6,8.076484200576493E-6
20,17,7.570907501821713E-6,8.076484200576493E-6
20,18,7.573515550199545E-6,8.076484200576493E-6
20,19,7.577261264243801E-6,8.076484200576493E-6
20,20,7.578810031400423E-6,8.076484200576493E-6
20,21,7.579734852488031E-6,8.076484200576493E-6
20,22,7.582941217451504E-6,8.076484200576493E-6
20,23,7.585424838175177E-6,8.076484200576493E-6
20,24,7.585921625122412E-6,8.076484200576493E-6
20,25,7.587530475182609E-6,8.076484200576493E-6
20,26,7.588592220939891E-6,8.076484200576493E-6
20,27,7.592535793922906E-6,8.085482416799777E-6
20,28,7.596855481833514E-6,8.141136158570171E-6
20,29,7.599520395877143E-6,8.141136158570171E-6
20,30,7.60276283981776E-6,8.141136158570171E-6
20,31,7.603845600276442E-6,8.141136158570171E-6
20,32,7.607168576190548E-6,8.141136158570171E-6
20,33,7.609128455108992E-6,8.141136158570171E-6
20,34,7.612284448103879E-6,8.141136158570171E-6
20,35,7.615555896895701E-6,8.141136158570171E-6
20,36,7.619584363680854E-6,8.159398912891448E-6
20,37,7.623476884791871E-6,8.159398912891448E-6
20,38,7.627629141720317E-6,8.192336083988895E-6
20,39,7.629095806437324E-6,8.192336083988895E-6
20,40,7.630771210454278E-6,8.192336083988895E-6
20,41,7.635262701877308E-6,8.259580009678393E-6
20,42,7.637320505540691E-6,8.259580009678393E-6
20,43,7.640321251731925E-6,8.259580009678393E-6
20,44,7.643867953271744E-6,8.259580009678393E-6
20,45,7.646945586775008E-6,8.259580009678393E-6
20,46,7.649251431770516E-6,8.259580009678393E-6
20,47,7.651999900624091E-6,8.259580009678393E-6
20,48,7.652752320344999E-6,8.259580009678393E-6
20,49,7.652163966853352E-6,8.259580009678393E-6
20,50,7.654957138529846E-6,8.259580009678393E-6
20,51,7.655969372517282E-6,8.259580009678393E-6
20,52,7.657630990764772E-6,8.259580009678393E-6
20,53,7.660061987162922E-6,8.259580009678393E-6
20,54,7.662951045501878E-6,8.259580009678393E-6
20,55,7.665070501387934E-6,8.259580009678393E-6
20,56,7.669543930133155E-6,8.358451956897338E-6
20,57,7.671182322125913E-6,8.358451956897338E-6
20,58,7.674104228163792E-6,8.358451956897338E-6
20,59,7.676488937674952E-6,8.358451956897338E-6
20,60,7.679546966316886E-6,8.358451956897338E-6
20,61,7.682684423734019E-6,8.358451956897338E-6
20,62,7.687336388242017E-6,8.431650709521967E-6
20,63,7.690217415671911E-6,8.431650709521967E-6
20,64,7.693576733259551E-6,8.431650709521967E-6
20,65,7.696258278229155E-6,8.431650709521967E-6
20,66,7.699519938725902E-6,8.431650709521967E-6
20,67,7.702939590781891E-6,8.431650709521967E-6
20,68,7.70559242235362E-6,8.431650709521967E-6
